"Song Name",Duration
"Romantic Rewind",1084056
"Bewafai Kar Gaya - From "Lekh"""",228000
"Romantic Mashup",251280
"Pehla Valentine",173048
"Valentine Mashup 2022",249618
Feelingaa,171007
"Love Like Me",160000
Beliya,226265
Soulmate,184681
"Pyar Karda - From "Lover"""",211224
"Daring Love",242857
"Intense Love",133053
"Valentine Mashup 2020",185800
"Marke - From "Lover"""",166833
"Intense Love",164651
"Love Mix Remix Mashup",285094
"The Ultimate Love Mashup - DJ Kiran Kamath",307573
"Bewafai Kar Gaya",228000
Bewafaai,322285
Chaal,210658
"Love Forever",183079
Proposal,273407
"Fuck Love",162905
Paagla,223783
Kasam,230522
Heerey,204978
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",184000
Ishqaa,321004
"Pyar Paun to Pehlan",256765
"Best Hindi Motivational Poetry 2022",109898
Relation,165750
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",434000
Udaarian,342648
"Kahani (From "Kahani"")"",194595
Kaash,213829
"True Love",274311
"Mob N Love",202422
"Punjabi Valentine Mashup 2022",290986
"In Love Again",236129
"Zubaan (From "Manje Bistre 2"")"",266866
"Silent Love",152307
"Silent Love",266370
Zindagi,170666
"Ikk Munda 2 - Waiting For Love",247884
"Rabba Ve",210000
"I Need Love",179052
Love,225241
Darling,139836
"Breakup Mashup",239880
"Romantic Love Mashup (Best of love music)",289123
"Romantic Rewind",1084056
"Bewafai Kar Gaya - From "Lekh"""",228000
"Romantic Mashup",251280
"Pehla Valentine",173048
"Valentine Mashup 2022",249618
Feelingaa,171007
"Love Like Me",160000
Beliya,226265
Soulmate,184681
"Pyar Karda - From "Lover"""",211224
"Daring Love",242857
"Intense Love",133053
"Valentine Mashup 2020",185800
"Marke - From "Lover"""",166833
"Intense Love",164651
"Love Mix Remix Mashup",285094
"The Ultimate Love Mashup - DJ Kiran Kamath",307573
"Bewafai Kar Gaya",228000
Bewafaai,322285
Chaal,210658
"Love Forever",183079
Proposal,273407
"Fuck Love",162905
Paagla,223783
Kasam,230522
Heerey,204978
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",184000
Ishqaa,321004
"Pyar Paun to Pehlan",256765
"Best Hindi Motivational Poetry 2022",109898
Relation,165750
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",434000
Udaarian,342648
"Kahani (From "Kahani"")"",194595
Kaash,213829
"True Love",274311
"Mob N Love",202422
"Punjabi Valentine Mashup 2022",290986
"In Love Again",236129
"Zubaan (From "Manje Bistre 2"")"",266866
"Silent Love",152307
"Silent Love",266370
Zindagi,170666
"Ikk Munda 2 - Waiting For Love",247884
"Rabba Ve",210000
"I Need Love",179052
Love,225241
Darling,139836
"Breakup Mashup",239880
"Romantic Love Mashup (Best of love music)",289123
"Romantic Rewind",1084056
"Bewafai Kar Gaya - From "Lekh"""",228000
"Romantic Mashup",251280
"Pehla Valentine",173048
"Valentine Mashup 2022",249618
Feelingaa,171007
"Love Like Me",160000
Soulmate,184681
"Pyar Karda - From "Lover"""",211224
"Daring Love",242857
"Intense Love",133053
"Valentine Mashup 2020",185800
"Marke - From "Lover"""",166833
"Intense Love",164651
"Love Mix Remix Mashup",285094
"The Ultimate Love Mashup - DJ Kiran Kamath",307573
"Bewafai Kar Gaya",228000
Bewafaai,322285
Chaal,210658
"Love Forever",183079
Proposal,273407
"Fuck Love",162905
Paagla,223783
"Punjab Bolda",307788
Kasam,230522
Heerey,204978
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",184000
Ishqaa,321004
"Pyar Paun to Pehlan",256765
"Best Hindi Motivational Poetry 2022",109898
Relation,165750
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",434000
Udaarian,342648
"Kahani (From "Kahani"")"",194595
Kaash,213829
"True Love",274311
"Mob N Love",202422
"Punjabi Valentine Mashup 2022",290986
"In Love Again",236129
"Zubaan (From "Manje Bistre 2"")"",266866
"Silent Love",152307
"Silent Love",266370
Zindagi,170666
"Ikk Munda 2 - Waiting For Love",247884
"Rabba Ve",210000
"I Need Love",179052
Love,225241
Darling,139836
"Breakup Mashup",239880
"Romantic Love Mashup (Best of love music)",289123
"Romantic Rewind",1084056
"Romantic Mashup",251280
"Pehla Valentine",173048
"Valentine Mashup 2022",249618
Feelingaa,171007
"Love Like Me",160000
Soulmate,184681
"Pyar Karda - From "Lover"""",211224
"Daring Love",242857
"Intense Love",133053
"Valentine Mashup 2020",185800
"Marke - From "Lover"""",166833
"Intense Love",164651
"Love Mix Remix Mashup",285094
"The Ultimate Love Mashup - DJ Kiran Kamath",307573
"Bewafai Kar Gaya",228000
Bewafaai,322285
Chaal,210658
"Love Forever",183079
Proposal,273407
"Fuck Love",162905
Paagla,223783
"Punjab Bolda",307788
Kasam,230522
"Dil Taan Pagal-Je Tu Na (From "T-Series Mixtape Punjabi"")"",291503
Heerey,204978
