"Song Name",Artists
"Mob N Love","Prem Dhillon"
"Punjabi Valentine Mashup 2022","Sukh-E Muzical Doctorz"
"In Love Again","Harman Hundal"
"Zubaan (From "Manje Bistre 2"")"","Ricky Khan"
"Silent Love",Davy
"Silent Love","Namr Gill"
Zindagi,"Amrinder Gill"
"Ikk Munda 2 - Waiting For Love","Sheera Jasvir"
"Rabba Ve","B Praak"
"I Need Love","Harman Hundal"
Darling,"Sucha Yaar"
"Breakup Mashup","Ammy Virk"
"Romantic Love Mashup (Best of love music)","Abhishek Rawal"
"Romantic Rewind",Akhil
"Bewafai Kar Gaya - From "Lekh"""","B Praak"
"Romantic Mashup","Miss Pooja"
"Pehla Valentine","Himmat Sandhu"
"Valentine Mashup 2022",Akhil
Feelingaa,"Kay Vee Singh"
"Love Like Me","Jassa Dhillon"
Beliya,"B Praak"
Soulmate,Akull
"Pyar Karda - From "Lover"""","Jass Manak"
"Daring Love","Varinder Brar"
"Intense Love","Jack Love"
"Valentine Mashup 2020","B Praak"
"Marke - From "Lover"""","Jass Manak"
"Intense Love","Chandra Brar"
"Love Mix Remix Mashup","Prabh Gill"
"The Ultimate Love Mashup - DJ Kiran Kamath",Jaani
"Bewafai Kar Gaya","B Praak"
Bewafaai,"B Praak"
Chaal,"Lovie Virk"
"Love Forever","Lakhi Ghuman"
Proposal,"Mehtab Virk"
"Fuck Love","Real Boss"
Paagla,Akhil
Kasam,"Hashmat Sultana"
Heerey,"Amrinder Gill"
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"","Prabh Gill"
Ishqaa,Akhil
"Pyar Paun to Pehlan","Labh Heera"
"Best Hindi Motivational Poetry 2022","Kumar Rishi"
Relation,Nikk
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah","Shirley Setia"
Udaarian,"Satinder Sartaaj"
"Kahani (From "Kahani"")"","Lo Jill"
Kaash,"Nachhatar Gill"
"True Love","Rupal J"
"Mob N Love","Prem Dhillon"
"Punjabi Valentine Mashup 2022","Sukh-E Muzical Doctorz"
"In Love Again","Harman Hundal"
"Zubaan (From "Manje Bistre 2"")"","Ricky Khan"
"Silent Love",Davy
"Silent Love","Namr Gill"
Zindagi,"Amrinder Gill"
"Ikk Munda 2 - Waiting For Love","Sheera Jasvir"
"Rabba Ve","B Praak"
"I Need Love","Harman Hundal"
Love,"Garry Sandhu"
Darling,"Sucha Yaar"
"Breakup Mashup","Ammy Virk"
"Romantic Love Mashup (Best of love music)","Abhishek Rawal"
"Romantic Rewind",Akhil
"Bewafai Kar Gaya - From "Lekh"""","B Praak"
"Romantic Mashup","Miss Pooja"
"Pehla Valentine","Himmat Sandhu"
"Valentine Mashup 2022",Akhil
Feelingaa,"Kay Vee Singh"
"Love Like Me","Jassa Dhillon"
Beliya,"B Praak"
Soulmate,Akull
"Pyar Karda - From "Lover"""","Jass Manak"
"Daring Love","Varinder Brar"
"Intense Love","Jack Love"
"Valentine Mashup 2020","B Praak"
"Marke - From "Lover"""","Jass Manak"
"Intense Love","Chandra Brar"
"Love Mix Remix Mashup","Prabh Gill"
"The Ultimate Love Mashup - DJ Kiran Kamath",Jaani
"Bewafai Kar Gaya","B Praak"
Bewafaai,"B Praak"
Chaal,"Lovie Virk"
"Love Forever","Lakhi Ghuman"
Proposal,"Mehtab Virk"
"Fuck Love","Real Boss"
Paagla,Akhil
Kasam,"Hashmat Sultana"
Heerey,"Amrinder Gill"
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"","Prabh Gill"
Ishqaa,Akhil
"Pyar Paun to Pehlan","Labh Heera"
"Best Hindi Motivational Poetry 2022","Kumar Rishi"
Relation,Nikk
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah","Shirley Setia"
Udaarian,"Satinder Sartaaj"
"Kahani (From "Kahani"")"","Lo Jill"
Kaash,"Nachhatar Gill"
"True Love","Rupal J"
"Mob N Love","Prem Dhillon"
"Punjabi Valentine Mashup 2022","Sukh-E Muzical Doctorz"
"In Love Again","Harman Hundal"
"Zubaan (From "Manje Bistre 2"")"","Ricky Khan"
"Silent Love",Davy
"Silent Love","Namr Gill"
Zindagi,"Amrinder Gill"
"Ikk Munda 2 - Waiting For Love","Sheera Jasvir"
"Rabba Ve","B Praak"
"I Need Love","Harman Hundal"
Love,"Garry Sandhu"
Darling,"Sucha Yaar"
"Breakup Mashup","Ammy Virk"
"Romantic Love Mashup (Best of love music)","Abhishek Rawal"
"Romantic Rewind",Akhil
"Bewafai Kar Gaya - From "Lekh"""","B Praak"
"Romantic Mashup","Miss Pooja"
"Pehla Valentine","Himmat Sandhu"
"Valentine Mashup 2022",Akhil
Feelingaa,"Kay Vee Singh"
"Love Like Me","Jassa Dhillon"
Soulmate,Akull
"Pyar Karda - From "Lover"""","Jass Manak"
"Daring Love","Varinder Brar"
"Intense Love","Jack Love"
"Valentine Mashup 2020","B Praak"
"Marke - From "Lover"""","Jass Manak"
"Intense Love","Chandra Brar"
"Love Mix Remix Mashup","Prabh Gill"
"The Ultimate Love Mashup - DJ Kiran Kamath",Jaani
"Bewafai Kar Gaya","B Praak"
Bewafaai,"B Praak"
Chaal,"Lovie Virk"
"Love Forever","Lakhi Ghuman"
Proposal,"Mehtab Virk"
"Fuck Love","Real Boss"
Paagla,Akhil
"Punjab Bolda","Ranjit Bawa"
Kasam,"Hashmat Sultana"
Heerey,"Amrinder Gill"
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"","Prabh Gill"
Ishqaa,Akhil
"Pyar Paun to Pehlan","Labh Heera"
"Best Hindi Motivational Poetry 2022","Kumar Rishi"
Relation,Nikk
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah","Shirley Setia"
Udaarian,"Satinder Sartaaj"
"Kahani (From "Kahani"")"","Lo Jill"
Kaash,"Nachhatar Gill"
"True Love","Rupal J"
"Mob N Love","Prem Dhillon"
"Punjabi Valentine Mashup 2022","Sukh-E Muzical Doctorz"
"In Love Again","Harman Hundal"
"Zubaan (From "Manje Bistre 2"")"","Ricky Khan"
"Silent Love",Davy
"Silent Love","Namr Gill"
Zindagi,"Amrinder Gill"
"Ikk Munda 2 - Waiting For Love","Sheera Jasvir"
"Rabba Ve","B Praak"
"I Need Love","Harman Hundal"
Love,"Garry Sandhu"
Darling,"Sucha Yaar"
"Breakup Mashup","Ammy Virk"
"Romantic Love Mashup (Best of love music)","Abhishek Rawal"
"Romantic Rewind",Akhil
"Romantic Mashup","Miss Pooja"
"Pehla Valentine","Himmat Sandhu"
"Valentine Mashup 2022",Akhil
Feelingaa,"Kay Vee Singh"
"Love Like Me","Jassa Dhillon"
Soulmate,Akull
"Pyar Karda - From "Lover"""","Jass Manak"
"Daring Love","Varinder Brar"
"Intense Love","Jack Love"
"Valentine Mashup 2020","B Praak"
"Marke - From "Lover"""","Jass Manak"
"Intense Love","Chandra Brar"
"Love Mix Remix Mashup","Prabh Gill"
"The Ultimate Love Mashup - DJ Kiran Kamath",Jaani
"Bewafai Kar Gaya","B Praak"
Bewafaai,"B Praak"
Chaal,"Lovie Virk"
"Love Forever","Lakhi Ghuman"
Proposal,"Mehtab Virk"
"Fuck Love","Real Boss"
Paagla,Akhil
"Punjab Bolda","Ranjit Bawa"
Kasam,"Hashmat Sultana"
"Dil Taan Pagal-Je Tu Na (From "T-Series Mixtape Punjabi"")"","Akhil Sachdeva"
Heerey,"Amrinder Gill"
